longitude,latitude,sst_ref,NDVI_ref,EVI_ref,LST_day_ref,t2m_anomaly_ref,ET_ref,precipitation_ref,precip_anomaly_ref,sst_fin,NDVI_fin,EVI_fin,LST_day_fin,t2m_anomaly_fin,ET_fin,precipitation_fin,precip_anomaly_fin,diff_sst,diff_NDVI,diff_EVI,diff_LST_day,diff_t2m_anomaly,diff_ET,diff_precipitation,diff_precip_anomaly
-117.5670129376245,20.77352573163417,24.941720015585663,,,,,,,,23.20690062112116,,,,,,,,-1.7348193944645018,,,,,,,
-117.3424341165908,20.77352573163717,24.993612523328785,,,,,,,,23.21955347611016,,,,,,,,-1.7740590472186248,,,,,,,
-117.11785529555912,20.773525731634795,25.01624286553579,,,,,,,,23.29506518966964,,,,,,,,-1.7211776758661514,,,,,,,
-116.89327647453496,20.773525731634123,25.008570518327904,,,,,,,,23.410565011506044,,,,,,,,-1.5980055068218597,,,,,,,
-116.6686976535036,20.77352573163335,24.991432780037776,,,,,,,,23.52025257781196,,,,,,,,-1.471180202225817,,,,,,,
-116.44411883247643,20.773525731633832,24.97757150783757,,,,,,,,23.58818787891345,,,,,,,,-1.3893836289241221,,,,,,,
-116.21954001144384,20.77352573163325,24.97784709672868,,,,,,,,23.60944052293662,,,,,,,,-1.3684065737920612,,,,,,,
-115.99496119041142,20.77352573163382,24.985779568824327,,,,,,,,23.62641325354976,,,,,,,,-1.359366315274567,,,,,,,
-115.77038236938724,20.77352573163665,24.99920873282344,,,,,,,,23.64850273967549,,,,,,,,-1.350705993147951,,,,,,,
-115.5458035483527,20.77352573163499,25.01823973502788,,,,,,,,23.68050132245381,,,,,,,,-1.337738412574069,,,,,,,
-115.32122472732436,20.7735257316368,25.062380450969872,,,,,,,,23.734281410489345,,,,,,,,-1.3280990404805273,,,,,,,
-115.09664590629644,20.77352573163437,25.11891909496254,,,,,,,,23.779068286935846,,,,,,,,-1.3398508080266929,,,,,,,
-114.87206708526476,20.773525731632223,25.176931229582888,,,,,,,,23.81189873536719,,,,,,,,-1.365032494215697,,,,,,,
-114.6474882642377,20.773525731632336,25.235537919446887,,,,,,,,23.849494777659448,,,,,,,,-1.3860431417874395,,,,,,,
-114.42290944320432,20.773525731633534,25.28779569736608,,,,,,,,23.907800151527503,,,,,,,,-1.3799955458385753,,,,,,,
-114.19833062217526,20.773525731633843,25.33628805233434,,,,,,,,23.97402990620759,,,,,,,,-1.3622581461267487,,,,,,,
-113.97375180114383,20.77352573163634,25.384102844541346,,,,,,,,24.023274424961297,,,,,,,,-1.3608284195800486,,,,,,,
-113.74917298011168,20.773525731633065,25.44681715823197,,,,,,,,24.0887504785145,,,,,,,,-1.3580666797174707,,,,,,,
-113.52459415908076,20.773525731631203,25.507388436380094,,,,,,,,24.16197045567923,,,,,,,,-1.3454179807008622,,,,,,,
-113.30001533805772,20.77352573163329,25.570550568587944,,,,,,,,24.25462438520936,,,,,,,,-1.3159261833785827,,,,,,,
-113.0754365170247,20.77352573163571,25.66054542033996,,,,,,,,24.415012966769588,,,,,,,,-1.2455324535703731,,,,,,,
-112.85085769599333,20.773525731632905,25.755735461546124,,,,,,,,24.586852258684385,,,,,,,,-1.168883202861739,,,,,,,
-112.62627887496316,20.77352573163452,25.833040486982306,,,,,,,,24.732467813551448,,,,,,,,-1.1005726734308574,,,,,,,
-112.4017000539359,20.77352573163592,25.917222074682137,,,,,,,,24.819450627464256,,,,,,,,-1.0977714472178803,,,,,,,
-112.1771212329034,20.77352573163744,26.026334461575743,,,,,,,,24.836635493518123,,,,,,,,-1.1896989680576198,,,,,,,
-111.95254241187854,20.773525731632155,26.14281022173044,,,,,,,,24.79203849849308,,,,,,,,-1.350771723237358,,,,,,,
-111.72796359084516,20.77352573163195,26.22401469891214,,,,,,,,24.745215873084888,,,,,,,,-1.4787988258272513,,,,,,,
-111.50338476981658,20.77352573163734,26.29914693762865,,,,,,,,24.72146537283696,,,,,,,,-1.577681564791689,,,,,,,
-111.27880594879014,20.77352573163688,26.36868473462852,,,,,,,,24.722805664236727,,,,,,,,-1.6458790703917927,,,,,,,
-111.05422712775469,20.77352573163748,26.43688289646376,,,,,,,,24.76902409529557,,,,,,,,-1.6678588011681903,,,,,,,
-110.82964830672526,20.7735257316338,26.4865488989297,,,,,,,,24.8658492569442,,,,,,,,-1.620699641985503,,,,,,,
