year,longitude,latitude,ONI,sst,chlor_a,t2m_anomaly,loss_anual,loss_acum,treecover2000,gHM,fire_count,NDVI,EVI,LST_day,ET,precipitation,precip_anomaly,precip_extreme_days,NO2,NO2_source,CO,CO_source,SO2,SO2_source,cluster,gi_z,gi_p,hotspot_gi,coldspot_gi,multi_stress,region_analisis
2023,-88.5963450118144,14.70990292696312,1.2,,,1.3780736928146768,0.0355774493705528,0.0239431779127047,44.58425936533392,0.376510334267769,1.0,0.6825706710152804,0.401361575164583,302.6138831856682,1132.6168871172313,1235.4129257798195,-250.7425705293815,1.0,1.1212232661779344e-05,S5P,0.02699673458642,S5P,5.868225377075972e-05,S5P,1.0,-1.2352612322483432,0.001,False,False,-1.8413143922031088,Otras Regiones
2023,-88.37176619078359,14.70990292696349,1.2,,,1.449302758136062,0.012514220705347,0.1758887997861533,68.9431015389315,0.3247687868452717,1.2857142857142858,0.760504149302409,0.4632939964969492,300.19401494563806,1364.9164160173932,1286.4721921086311,-223.19476821223884,2.0,1.3437516187655525e-05,S5P,0.026292846682663,S5P,6.631886155057772e-05,S5P,1.0,-1.1027211718347456,0.001,False,False,-2.3771249376662227,Otras Regiones
2023,-88.14718736975752,14.709902926963316,1.2,,,1.563300645894104,0.0613325899080011,0.1860465116279068,61.942872417611774,0.270137659230333,1.3836687028386632,0.706603448692395,0.4004375611523821,302.4239099898826,1263.810213202873,1331.9848615527153,-261.4605228056509,0.0,1.4248377304446626e-05,S5P,0.0295227367174249,S5P,5.173524905257181e-05,S5P,1.0,-0.9612448907879069,0.001,False,False,-1.327927700578976,Otras Regiones
2023,-87.92260854872212,14.709902926966713,1.2,,,1.384732747864044,0.0761648745519713,0.251269713980219,69.15267117271927,0.3628698660862168,1.0849836158997008,0.7566905659237778,0.437585945521531,299.761211145451,1343.712242556017,1674.1285759210589,-225.00515626867605,1.0,1.0732927312279056e-05,S5P,0.0262106595891076,S5P,1.8415456957934805e-05,S5P,1.0,-1.0205746669013642,0.001,False,False,-2.844586194760333,Otras Regiones
2023,-87.69802972769754,14.709902926960686,1.2,,,1.1924100972984226,0.0020434227330779,0.2098751288807422,51.15545881544276,0.2708770374495736,1.7526907582225963,0.69562921422963,0.4094673189587481,302.6217682948354,1119.8631636165962,1299.4888140559196,-179.4310940533876,2.0,1.3086605871355173e-05,S5P,0.0280928950381236,S5P,3.3055288904070624e-05,S5P,1.0,-1.0477549105252437,0.001,False,False,-2.096559359521336,Otras Regiones
2023,-87.47345090666563,14.709902926963776,1.2,,,1.3199088647750188,0.0298839219560385,0.2438996448619543,46.71088708137624,0.2630536478730771,2.0776009582477752,0.667827951923657,0.3998817539409307,299.8062887954307,1092.809820619676,1294.9446511268616,-67.37121661106744,2.0,1.2287273530370337e-05,S5P,0.0262712060323394,S5P,3.94195013614173e-05,S5P,1.0,-1.1049708251440775,0.001,False,False,-2.42005832853639,Otras Regiones
2023,-87.24887208563304,14.709902926962483,1.2,,,1.0920754547630598,0.1479400749063671,0.009737656088899,18.890785504257835,0.241623277967955,1.8655066159144456,0.6359277042942555,0.3671380141329947,303.2859010094567,993.948154858971,1110.5124447345734,-22.908015524347547,2.0,1.2817818842347908e-05,S5P,0.0281490788796742,S5P,1.3376251052779657e-05,S5P,1.0,-1.1342442066642646,0.001,False,False,-1.909091198212352,Otras Regiones
2023,-87.02429326460474,14.709902926967665,1.2,,,1.167809345391255,0.0,0.1546950777103142,33.15786458930001,0.2449880796872121,2.306814843826495,0.5864268647701868,0.3061517787038711,301.4496080848165,924.1284109440104,1095.376587986946,17.575763131181475,1.0,1.1541651618966434e-05,S5P,0.0268347994994695,S5P,4.516462686146056e-05,S5P,1.0,-1.3006201321008855,0.001,False,False,-2.0661675465777445,Otras Regiones
2023,-86.79971444357687,14.709902926963847,1.2,,,0.8879474650413914,0.0884779516358464,0.1898270134035971,42.82323290182149,0.2092020533540501,1.1527471251016377,0.6835115359062622,0.3613362082502864,299.267097815908,1013.5242435223764,1133.408809363842,78.25550743738813,2.0,1.0361901604847396e-05,S5P,0.0265562784180301,S5P,3.59463460074899e-05,S5P,1.0,-1.3244205243227865,0.001,False,False,-3.6695715660682957,Otras Regiones
2023,-86.57513562254613,14.709902926964396,1.2,,,0.8042742924257965,0.0120772946859903,0.0876389048000916,33.090884790163045,0.2288715867530158,1.0477503308337013,0.6289893942139269,0.3912711904330491,300.38972157879414,937.2923959654516,1140.9982172250748,45.27453861236563,4.0,1.0517216461528168e-05,S5P,0.0273770407111555,S5P,1.5148797462830928e-05,S5P,1.0,-1.3479169101405815,0.001,False,False,-3.3285799045001063,Otras Regiones
2023,-118.4653282092193,14.934481568544223,1.2,27.23633312466531,,,,,0.0,,,,,,,,,,6.036954923285636e-06,S5P,0.0270663276179276,S5P,9.609134845893714e-06,S5P,,,,,,,
2023,-118.24074938819348,14.934481568546364,1.2,27.230595518833315,,,,,0.0,,,,,,,,,,6.194130642275354e-06,S5P,0.026592803431068,S5P,2.2257386939747984e-05,S5P,,,,,,,
2023,-118.0161705671632,14.93448156854881,1.2,27.2263633920034,,,,,0.0,,,,,,,,,,5.886686044585138e-06,S5P,0.0260057847818188,S5P,1.8541254172801727e-05,S5P,,,,,,,
2023,-117.79159174612975,14.934481568549309,1.2,27.225383884208537,,,,,0.0,,,,,,,,,,5.174183847716867e-06,S5P,0.0267168637356657,S5P,3.250527873918567e-05,S5P,,,,,,,
2023,-117.5670129251022,14.93448156854833,1.2,27.23964285714285,,,,,0.0,,,,,,,,,,5.383625515328052e-06,S5P,0.0266761935416505,S5P,4.852348362644055e-05,S5P,,,,,,,
2023,-117.34243410407308,14.93448156854917,1.2,27.276785714285715,,,,,0.0,,,,,,,,,,5.085432546837316e-06,S5P,0.0265167423540078,S5P,1.2523781759763056e-05,S5P,,,,,,,
2023,-117.1178552830433,14.934481568549309,1.2,27.32947802197802,,,,,0.0,,,,,,,,,,5.293411041576758e-06,S5P,0.0270109810800865,S5P,3.2894287897188105e-05,S5P,,,,,,,
2023,-116.89327646201345,14.934481568544346,1.2,27.38587912087912,,,,,0.0,,,,,,,,,,5.970711615175737e-06,S5P,0.0276112485441894,S5P,1.268834333988324e-05,S5P,,,,,,,
2023,-116.66869764098168,14.934481568547325,1.2,27.439093406593408,,,,,0.0,,,,,,,,,,5.59341500968688e-06,S5P,0.0273799629719184,S5P,1.0999061194820767e-05,S5P,,,,,,,
2023,-116.44411881995322,14.934481568549582,1.2,27.48412087912088,,,,,0.0,,,,,,,,,,5.94203937409793e-06,S5P,0.0264577048648958,S5P,2.761930087180026e-05,S5P,,,,,,,
2023,-116.21953999892212,14.9344815685494,1.2,27.51539191876531,,,,,0.0,,,,,,,,,,5.896300678596933e-06,S5P,0.0272151264169928,S5P,6.343590055474618e-06,S5P,,,,,,,
