var1,var2,r,p_raw,n,p_bh,sig,|r|
t2m_anomaly,precip_anomaly,-0.3742473221864481,0.0,35550,0.0,True,0.3742473221864481
precipitation,CO,0.3739712035816973,0.0,36078,0.0,True,0.3739712035816973
chlor_a,CO,0.36827547015625206,0.0,25584,0.0,True,0.36827547015625206
gHM,NO2,0.36038606078506086,0.0,36196,0.0,True,0.36038606078506086
EVI,CO,0.34743201611688856,0.0,35581,0.0,True,0.34743201611688856
chlor_a,precipitation,0.34145445251856305,1.945569191886301e-44,1580,2.57210842317172e-44,True,0.34145445251856305
NDVI,CO,0.30151033898563334,0.0,35579,0.0,True,0.30151033898563334
precipitation,precip_anomaly,0.28746512626779175,0.0,36078,0.0,True,0.28746512626779175
gHM,CO,0.2820600617927538,0.0,36198,0.0,True,0.2820600617927538
LST_day,gHM,-0.25715570573330027,0.0,35501,0.0,True,0.25715570573330027
NO2,CO,0.24707631616762102,0.0,72082,0.0,True,0.24707631616762102
t2m_anomaly,ET,-0.2216394914468857,5.2407617737952757e-256,23192,1.3186432850194567e-255,True,0.2216394914468857
sst,SO2,-0.2040701656057166,0.0,38430,0.0,True,0.2040701656057166
precipitation,t2m_anomaly,-0.1948157719612823,4.634085010350114e-301,35550,1.2048621026910296e-300,True,0.1948157719612823
LST_day,CO,-0.17913744573584547,8.90036122903582e-254,35501,2.1694630495774812e-253,True,0.17913744573584547
ET,precip_anomaly,0.17341611189860603,6.532568398483913e-157,23328,1.3408956186361716e-156,True,0.17341611189860603
precip_anomaly,CO,0.17196389892697858,1.71874633883792e-237,36078,4.0624913463441744e-237,True,0.17196389892697858
LST_day,SO2,-0.16290326471168107,1.2211385916631556e-209,35501,2.721394575706461e-209,True,0.16290326471168107
t2m_anomaly,CO,-0.14957079736488596,8.248723080730748e-178,35730,1.7389200008026983e-177,True,0.14957079736488596
NDVI,t2m_anomaly,-0.13820982815597946,5.241519829878535e-150,35285,1.048303965975707e-149,True,0.13820982815597946
LST_day,NO2,-0.12724905379926227,4.878305787069682e-128,35499,9.280679302230126e-128,True,0.12724905379926227
