longitude,latitude,LST_day,NDVI,NO2,t2m_anomaly,gHM,fire_count,precipitation,SO2,CO,z_LST,z_NDVI,z_NO2,multi_stress,gi_z,gi_p,hotspot_gi,z_t2m
-91.06671204314176,14.70990292696143,296.9814136887381,0.6941781482152557,1.660877478482036e-05,0.33931901010326,0.4596801472849627,1.0,992.4049328565598,6.58869836355922e-05,0.0224506465976416,-1.3907909818658246,1.0922672073880624,-0.12928513218664014,-4.748695230021541,-1.7469825530958545,0.001,False,-2.1363519085810134
-90.84213322211146,14.709902926963473,296.31438418562954,0.7289070000603965,2.0857961540736173e-05,0.6914665152098304,0.5164542204941215,1.3190839694656489,913.6608937382698,7.313883217695441e-05,0.0233611210450906,-1.540216910655726,1.24793426765186,0.27401985409270097,-3.9366016077880985,-1.4958983564156014,0.001,False,-1.4224702835732133
-90.61755440108392,14.70990292696385,296.4967776405877,0.6438532946789869,2.682973569566743e-05,1.442456368465507,0.6147215880355995,1.0,1049.7965617775917,1.6174124037456797e-05,0.0241407907029469,-1.4993576813633016,0.8666933230820295,0.8408215580339977,-1.4252756064790104,-1.3242970992019762,0.001,False,0.09995383993232296
-90.39297558005542,14.709902926965327,299.9857377019116,0.610184719454007,3.662395601508563e-05,1.0757162538650102,0.5513730795801712,1.3645624209978435,1181.84665030241,3.848380781953559e-05,0.0260207893321384,-0.7177714168208893,0.715778799563842,1.7704248253040096,-0.3066356540314171,-1.2424523698687404,0.001,False,-0.6435102629506954
-90.16839675902638,14.709902926961965,299.51544469100526,0.7067378752189399,1.918463176281685e-05,0.9702879807355632,0.3315522048199723,1.0,1170.483371257782,6.257777914063055e-05,0.0257126638825615,-0.8231250325613968,1.1485643688691702,0.11519834732202126,-2.713727968113148,-1.2199103820889114,0.001,False,-0.8572369140046021
-89.9438179379935,14.709902926967416,297.2480800578048,0.716367143806244,1.0720016836571768e-05,1.212888610112093,0.3300806309818861,1.0,932.6787929832936,2.187071310236997e-05,0.0242608537855062,-1.3310531896255557,1.191726173934312,-0.6882074813195136,-3.5764181120576053,-1.173621570383697,0.001,False,-0.36543126717822394
-89.71923911696848,14.709902926967787,300.3817350672489,0.6931412514344378,1.576454116028104e-05,1.4080788925597474,0.3369621922571313,1.0,1374.595969736576,6.8003715942891e-05,0.0267110639543324,-0.6290612865521127,1.0876194673940465,-0.20941426039861166,-1.8958319943313429,-1.2912071506414071,0.001,False,0.030263020013427996
-89.49466029593572,14.709902926962894,302.1465888504799,0.6875731412695528,1.562409387864771e-05,1.4455081049749463,0.4086859490552134,1.0,1418.8169454932213,9.64171455446692e-05,0.0270318405776071,-0.2337040879444443,1.062661218141879,-0.2227445968243386,-1.412969511641578,-1.300363432944191,0.001,False,0.10614039126908421
-89.2700814749072,14.709902926963515,299.26473682277026,0.7531991000785158,1.2096103052305658e-05,1.0682681458046068,0.3442177020903009,1.2494418258496651,1338.0804627537727,8.557936740205548e-05,0.0264654474576196,-0.8792878497851713,1.3568200959054613,-0.5575983873362736,-3.4523155741282077,-1.2341492879702902,0.001,False,-0.6586092411013013
-89.04550265387911,14.709902926963228,297.5486270210316,0.7840971190433043,9.98300941739636e-06,1.1353248940754042,0.3108207970810959,1.0,1378.80946713686,2.245609626754997e-05,0.0243754199447196,-1.2637255693091283,1.4953160013177986,-0.758159400157745,-4.039871209822594,-1.2709038225015539,0.001,False,-0.5226702390379224
